,best_params
0,"{'dropout': 0.2, 'lr': 0.00931103448275862, 'patience': 20, 'weight_decay': 0.0006989655172413794}"
1,"{'dropout': 0.1, 'lr': 0.0027658620689655173, 'patience': 100, 'weight_decay': 0.0037993103448275864}"
2,"{'dropout': 0.2, 'lr': 0.0006989655172413794, 'patience': 100, 'weight_decay': 0.003110344827586207}"
3,"{'dropout': 0.1, 'lr': 0.0072441379310344825, 'patience': 100, 'weight_decay': 0.0013879310344827587}"
4,"{'dropout': 0.1, 'lr': 0.0017324137931034483, 'patience': 100, 'weight_decay': 0.003110344827586207}"
