iter	Passed	Remaining
835	123844	24294
836	123972	24142
837	124067	23984
838	124106	23815
839	124164	23650
840	124226	23486
841	124365	23336
842	124507	23188
843	124670	23043
844	124773	22887
84847	124761	223684848	124864	222084849	124999	220584850	125168	219184851	125376	217785852	125512	2163851	125880	21866
85854	125838	213485855	125948	211885856	126136	21047
857	126356	20912
858	126570	20775
859	126630	20614
860	126837	20476
861	126991	203386862	127128	201886863	127283	20035
864	127370	1987863	127661	20094
864	127837	19951
865	128026	19810
866	128086	19648
867	128206	19496
868	128272	19336
869	128388	19184
870	128578	19043
871	128771	18902
872	128908	18753
873	128989	18595
874	129020	18431
87877	128958	179187878	129057	177687879	129182	176187880	129292	1746879	129604	17673
880	129776	17529
881	129914	17380
882	130032	17229
883	130146	17078
884	130290	16930
885	130356	16772
886	130487	16623
887	130621	16474
88890	130565	159788891	130754	158389892	130901	15684
893	131025	15535
894	131068	153789895	131267	152389896	131451	15094
897	131488	1493896	131739	15127
897	131861	14977
89900	131691	144789901	131870	143290902	132062	141890903	132184	140390904	1322903	13290905	1323904	132904	132708905	132905	132855906	132906	133011	13638
907	133070	13482
908	133219909	13390911	133245	12856
912	133336	12705
913	1334912	13360914	133682	12418
915	133745	12264
916	133986	12127
917	134054	11974
918	134127	118219919	134339	11681
920	134442	11531
921	134919	134919922	134815	11246
923	134921	135365	11451
922	135624	11314
923	135795	11169
924	136028927	135925	136093928	135897	10386
929	136003	10236
930	136217	10095
931	136369	9949
932	1365930	1368933	136623	9654
934	13665932	137175	9850
933	137299	9702
934	137434	9554
935	137540	9404
936	137852	9268
937	138028	9123
938	138074	8969
939	138255	8824
940	138564	8687
941	138742	8542
942	138922	8397
943	139013	8246
944	139151	8098
945	139250	7948
946	139345	7798
947	139458	7649
948	139506	7497
949	139838	7359
950	140066	7216
951	140260	7071
952	140507	6929
953	140543	6776
954	140926	6640
955	141089	6493
956	141244	6346
957	141419	6200
958	141566	6052
959	141672	5903
960	141797	5754
961	141875	5604
962	142020	5456
963	142089	5306
964	142457	5166
965	142549	5017
966	142693	4869
967	142868	4722
968	142996	4574
969	143096	4425
970	143274	4279
971	143441	4132
972	143609	3985
973	143683	3835
974	143757	3686
975	143949	3539
976	144055	3391
977	144122	3242
978	144167	3092
979	144218	2943
980	144310	2794
981	144362	2646
982	144403	2497
983	144525	2350
984	144706	2203
985	144831	2056
986	144899	1908
987	144934	1760
988	145012	1612
989	145064	1465
990	145126	1318
991	145173	1170
992	145244	1023
993	145271	876
994	145292	730
995	145315	583
996	145328	437
997	145339	291
998	145349	145
999	145366	0
